decision_date,meeting_date,effective_date,publication_datetime_msk,rate_before,rate_after,change_bps,direction,title,description,is_scheduled,is_official,source_url,source_type,source_title,source_note,notes
2018-09-14,2018-09-14,,2018-09-14T13:30:00,7.25,7.50,25,rate_hike,Bank of Russia raises the key rate by 25 bp to 7.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=14092018_133000key_eng.htm,official_curated,Bank of Russia raises the key rate by 25 bp to 7.50% p.a.,Curated from official Bank of Russia press release.,Older historical hike event; included to expand hike sample.
2019-03-22,2019-03-22,,2019-03-22T13:30:00,7.75,7.75,0,rate_hold,Bank of Russia keeps the key rate at 7.75% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=22032019_133000Key_eng.htm,official_curated,Bank of Russia keeps the key rate at 7.75% p.a.,Curated from official Bank of Russia press release.,Older historical hold event; included to expand hold sample.
2020-03-20,2020-03-20,,2020-03-20T13:30:00,6.00,6.00,0,rate_hold,Bank of Russia keeps the key rate at 6.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=20032020_133000key_eng.htm,official_curated,Bank of Russia keeps the key rate at 6.00% p.a.,Curated from official Bank of Russia press release.,COVID/oil shock period; analyzer confidence should be limited.
2020-07-24,2020-07-24,,2020-07-24T13:30:00,4.50,4.25,-25,rate_cut,Bank of Russia cuts the key rate by 25 bp to 4.25% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=24072020_133000Key_eng.htm,official_curated,Bank of Russia cuts the key rate by 25 bp to 4.25% p.a.,Curated from official Bank of Russia press release.,Older historical cut event; included to expand cut sample.
2020-10-23,2020-10-23,,2020-10-23T13:30:00,4.25,4.25,0,rate_hold,Bank of Russia keeps the key rate at 4.25% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=23102020_133000key_e.htm,official_curated,Bank of Russia keeps the key rate at 4.25% p.a.,Curated from official Bank of Russia press release.,Older historical hold event; included to expand hold sample.
2020-12-18,2020-12-18,,2020-12-18T13:30:00,4.25,4.25,0,rate_hold,Bank of Russia keeps the key rate at 4.25% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=18122020_133000Key_eng.htm,official_curated,Bank of Russia keeps the key rate at 4.25% p.a.,Curated from official Bank of Russia press release.,Older historical hold event; included to expand hold sample.
2021-02-12,2021-02-12,,2021-02-12T13:30:00,4.25,4.25,0,rate_hold,Bank of Russia keeps the key rate at 4.25% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=12022021_133000Key_eng.htm,official_curated,Bank of Russia keeps the key rate at 4.25% p.a.,Curated from official Bank of Russia press release.,Older historical hold event; included to expand hold sample.
2021-07-23,2021-07-23,,2021-07-23T13:30:00,5.50,6.50,100,rate_hike,Bank of Russia increases the key rate by 100 b.p. to 6.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=23072021_133000Key_eng.htm,official_curated,Bank of Russia increases the key rate by 100 b.p. to 6.50% p.a.,Curated from official Bank of Russia press release.,
2021-09-10,2021-09-10,,2021-09-10T13:30:00,6.50,6.75,25,rate_hike,Bank of Russia increases the key rate by 25 b.p. to 6.75% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=10092021_133000key_eng.htm,official_curated,Bank of Russia increases the key rate by 25 b.p. to 6.75% p.a.,Curated from official Bank of Russia press release.,
2021-10-22,2021-10-22,,2021-10-22T13:30:00,6.75,7.50,75,rate_hike,Bank of Russia increases the key rate by 75 b.p. to 7.50% p.a.,,true,true,https://www.cbr.ru/eng/press/PR/?file=22102021_133000Key_eng.htm,official_curated,Bank of Russia increases the key rate by 75 b.p. to 7.50% p.a.,Curated from official Bank of Russia press release.,
2021-12-17,2021-12-17,,2021-12-17T13:30:00,7.50,8.50,100,rate_hike,Bank of Russia increases the key rate by 100 b.p. to 8.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=17122021_133000key_eng.htm,official_curated,Bank of Russia increases the key rate by 100 b.p. to 8.50% p.a.,Curated from official Bank of Russia press release.,
2022-02-11,2022-02-11,,2022-02-11T13:30:00,8.50,9.50,100,rate_hike,Bank of Russia increases the key rate by 100 b.p. to 9.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=11022022_133000Key_eng.htm,official_curated,Bank of Russia increases the key rate by 100 b.p. to 9.50% p.a.,Curated from official Bank of Russia press release.,
2022-02-28,2022-02-28,,2022-02-28T09:45:00,9.50,20.00,1050,rate_hike,Bank of Russia increases the key rate to 20% p.a.,,false,true,https://www.cbr.ru/eng/press/pr/?file=28022022_094500key_eng.htm,official_curated,Bank of Russia increases the key rate to 20% p.a.,Curated from official Bank of Russia press release.,"Extraordinary crisis decision; MOEX trading/market conditions were abnormal, analyzer confidence should be limited."
